date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:08:34	2620/2620	---M-Z	200	added ('OK')	application/javascript	etag:%22903e2cc32e1c770bd797018b010105f4-ssl-df%22	https://digikit.netlify.app/assets/js/plugins/app.js	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/assets/js/plugins/app.js	(from https://digikit.netlify.app/pages/home_4)
16:08:34	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/home_5)
16:08:35	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/home_5)
16:08:35	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/home_1_grad)
16:08:35	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/home_1_grad)
16:08:36	99348/99348	---M--	200	added ('OK')	image/png	etag:%223c64f0b42217903469d2ca0f2b7868b1-ssl%22	https://digikit.netlify.app/assets/images/bg/screen1.png	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/assets/images/bg/screen1.png	(from https://digikit.netlify.app/pages/home_5)
16:08:36	53335/53335	---M--	200	added ('OK')	image/png	etag:%22e29c829220768914c301dfa7a148fe75-ssl%22	https://digikit.netlify.app/assets/images/bg/screen-soft.png	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/assets/images/bg/screen-soft.png	(from https://digikit.netlify.app/pages/home_5)
16:08:36	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/home_2_grad)
16:08:36	81271/81271	---M--	200	added ('OK')	image/jpeg	etag:%22a6029590ff9e048baaaba8d25e248454-ssl%22	https://digikit.netlify.app/assets/images/bg/company.jpg	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/assets/images/bg/company.jpg	(from https://digikit.netlify.app/pages/home_2_grad)
16:08:36	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/home_2_grad)
16:08:37	33288/33288	---M--	200	added ('OK')	image/png	etag:%22dd18e622977b14c78f2d687b733a4c1a-ssl%22	https://digikit.netlify.app/assets/images/bg/testimonials-bg-grad.png	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/assets/images/bg/testimonials-bg-grad.png	(from https://digikit.netlify.app/pages/home_2_grad)
16:08:37	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/home_3_grad)
16:08:37	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/home_3_grad)
16:08:38	3683/3683	---M--	301	error ('Moved%20Permanently')	text/html	etag:%226c46feddb753e636bc3c232757a4f1c7-ssl-df%22	https://digikit.netlify.app/pages/Home_3.html	C:/Users/pacisfista%20mrk2/Desktop/novus/novus2/digikit.netlify.app/pages/Home_3-2.html	(from https://digikit.netlify.app/pages/home_4_grad)
